C_env,C_air,R_rc,R_oe,R_er,RMSE,Action_total,Energy,Penalty,Exceedance,Action_total_online,Energy_online,Penalty_online,Exceedance_online
2861021.5,273879.327,0.00543592,0.02509034,0.00494587,0.529760422,2076.839974,346.38177,234,107.8789785,2817.202881,521.8742065,38,27.18874416
6334976.69,402955.892,0.0143141,0.05729827,0.00167946,1.256657001,3229.413277,554.05225,157.5,71.16787842,3015.134033,536.9476929,21,9.280811099
1225594.14,128379.379,0.00585746,0.02328236,0.00415422,0.715745268,2288.655297,396.70557,268.5,93.90087255,2681.819336,522.4747925,43,30.3629617
5293903.78,503816.037,0.01238888,0.06658016,0.0038022,1.674393842,2501.012383,420.56522,186.5,40.21984858,2910.114502,496.8007813,35,9.478250769
3975194.56,595253.074,0.01223939,0.02950873,0.00145365,1.568203295,3278.263993,558.25024,131.5,55.73023813,2799.59375,475.9547424,50.5,10.34615563
1116271.18,616660.732,0.01186058,0.0310389,0.0040829,1.414750343,2363.638941,434.14154,207.5,26.54987231,2888.222412,487.5536194,19,5.246294113
2605674.98,441518.083,0.00985954,0.05575096,0.00266432,1.412819829,2739.410977,510.98495,62.5,11.53297324,2726.056641,562.4984131,34,17.86293722
2013764.6,480382.962,0.00811833,0.02844319,0.00362004,0.488668226,2245.482347,390.8799,32.5,1.667289642,2914.593506,517.2601929,18.5,1.841836388
6239142.82,452999.684,0.00643666,0.0306072,0.00296925,0.672834099,2471.057292,419.15714,8,0.463320278,2570.525635,460.3720093,29.5,4.718512816
5953446.04,116704.726,0.00763162,0.04479289,0.00190057,1.18987995,3277.980355,555.27057,171,82.1756978,2867.800049,490.4806824,30.5,7.717890543
1542181.07,199403.028,0.00897051,0.03432654,0.00281605,0.74417086,2503.914537,422.47473,1.5,0.1358965,2431.549316,460.6340942,23,5.922329855
3933230.02,384432.372,0.00322555,0.03799737,0.00404716,1.880065199,2518.72838,418.13846,96.5,23.42707715,2472.18042,441.56073,40.5,13.56719812
1674398.43,569218.618,0.00384762,0.02306758,0.00337376,0.988641164,2360.803022,509.04742,17,6.766233194,2649.706299,499.7405396,33,18.68112194
2842856.36,396211.932,0.00453825,0.03657854,0.00297983,1.422944965,2491.866678,419.13583,3,0.419261073,2941.534424,527.6297607,24,5.754755722
2548578.75,371257.24,0.00681073,0.02263767,0.00397319,0.424849037,2335.611423,421.9525,73.5,8.203281001,2615.058838,523.8361816,32,4.36013299
3537271.4,246282.147,0.00696981,0.03748787,0.00088019,1.289271128,2892.454476,496.64508,254,120.9519227,2678.468994,537.0628052,36.5,17.37719885
3175457.55,90237.098,0.01025557,0.04881558,0.00357959,1.123296901,2428.377162,410.8826,35.5,1.257629676,2665.513672,468.6293945,10.5,1.154573492
3329608.78,841749.544,0.00619022,0.04688614,0.00451727,1.620341307,2307.378904,387.7578,497,216.5615538,2831.692871,496.0682373,22,6.085654857
3594186.11,282519.697,0.00473552,0.02461366,0.00326101,0.634591789,2570.618032,444.45682,7,3.435439727,2906.247314,543.4899292,37.5,13.98620407
3064635.93,263382.037,0.01491774,0.04312598,0.00242124,0.837930803,2754.868866,473.99338,65,18.42594754,2733.398193,555.2148438,32,4.279488279
1950830.56,244334.581,0.01067021,0.02987596,0.00067871,1.580811232,2929.635322,502.57373,156.5,45.35374881,2995.072998,518.6710815,70.5,18.96208401
4509060.71,449799.709,0.01102234,0.03699805,0.00350358,0.41870585,2313.628843,390.7331,11,1.576593212,2343.427002,441.3654785,16.5,3.32639383
2180249.13,153487.228,0.00578217,0.02710814,0.00272305,0.426074116,2696.75332,457.24423,0,0,2673.788574,481.4636841,10,1.439597567
768779.785,734894.793,0.00328892,0.02931677,0.00339392,1.595182833,2168.860271,360.79578,321.5,82.81317231,3016.241211,528.0076294,35,13.27720031
4467080.93,51891.4138,0.00876159,0.02044181,0.00250293,1.688775419,2907.267817,542.275,66.5,25.78632791,2449.65332,465.7167664,22,5.22294084
2916799.11,350066.699,0.01020932,0.04997808,0.0023776,1.074147089,2871.745927,495.1693,109.5,41.29441916,2930.475342,528.6065063,31,8.77341302
8211437.6,431921.925,0.00841556,0.03125687,0.00375686,0.484114464,2474.13911,418.18607,96.5,3.371470694,2646.059082,504.8996277,73.5,38.07423662
4515991.01,279539.992,0.00726472,0.01881356,0.00420554,1.155467587,2476.684468,465.01514,44.5,10.38508973,2760.161133,576.25,27,4.537718496
6541250.05,429568.409,0.00736673,0.01966912,0.00201633,1.430040785,3377.765588,583.8292,244,97.44325828,2915.416504,550.1392212,52.5,17.27138939
5336453.63,721480.445,0.01450757,0.02655959,0.00383777,1.929553939,2336.533122,448.82666,101,22.34226707,2795.39624,535.02948,54,11.06373834
