lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,17.0,22.846153846153847,-604.6554
15.0,28.0,0.0,18.0,21.976315182734986,-442.8995
15.0,28.0,0.0,19.0,22.02016884715748,-432.83926
15.0,28.0,0.0,20.0,21.97004685007372,-415.45035
15.0,28.0,0.0,21.299999999999997,21.934653555234334,-397.06448
15.0,28.0,0.0,21.0,21.917867757711193,-391.89706
15.0,28.0,0.0,20.700000000000003,21.889949715203656,-369.74576
15.0,28.0,0.0,20.5,21.887311185633756,-367.1443
15.0,28.0,0.0,20.4,21.86115066208867,-356.35065
15.0,28.0,0.0,20.4,21.846217588281885,-354.46545
15.0,28.0,0.0,20.5,21.822096358735763,-351.42026
15.0,28.0,1.815,21.1,21.801223751981986,-348.7852
15.0,28.0,55.72619567,21.700000000000003,21.785932339614828,456.7684
22.0,24.0,22.77,22.400000000000006,23.013384719268824,282.16428
22.0,24.0,117.79429640000002,23.0,22.987732567051005,205.47385
22.0,24.0,65.67801958,24.0,22.97644810563898,166.21747
22.0,24.0,177.4316214,25.0,22.992347314262602,8.194275
22.0,24.0,129.2898191,26.0,23.059629305075948,-51.46936
22.0,24.0,333.23752,27.0,23.060737663852507,-168.23926
22.0,24.0,329.361975,27.599999999999994,23.02095873416888,-232.80034
22.0,24.0,502.1707031,28.299999999999997,23.02269544509197,-341.23364
22.0,24.0,518.8843588999999,28.700000000000003,22.99948741619177,-397.8355
22.0,24.0,632.8191194,29.200000000000003,23.025676687884463,-488.69974
22.0,24.0,649.8086212000001,29.400000000000006,23.023695349431957,-503.1162
22.0,24.0,701.6350699,29.599999999999994,23.113378311412145,-524.2591
22.0,24.0,703.0527701000001,29.700000000000003,23.208116273820163,-559.36505
22.0,24.0,493.46773679999995,29.799999999999997,23.269557769452835,-592.1569
22.0,24.0,89.94650763,29.700000000000003,23.261989961978458,-555.7513
22.0,24.0,180.2523886,29.599999999999994,23.24699707164317,-568.8571
22.0,24.0,474.8740791999999,29.400000000000006,23.215083784979022,-593.64124
22.0,24.0,426.4738543,29.099999999999994,23.236687858927073,-607.1293
22.0,24.0,424.60447639999995,28.700000000000003,23.239725180687138,-612.6532
22.0,24.0,269.3540575,28.299999999999997,23.249274776205922,-605.16394
22.0,24.0,221.8666509,27.700000000000003,23.2316162922738,-597.4363
22.0,24.0,126.70574760000002,27.099999999999994,23.206946396288927,-596.3845
22.0,24.0,96.50280202,26.200000000000003,23.146844844941953,-574.1297
22.0,24.0,53.955,25.400000000000006,23.110692395625087,-473.76147
22.0,24.0,38.445,25.400000000000006,22.989259793161807,-426.89868
22.0,24.0,24.09,23.0,22.97210810161443,-356.07446
22.0,24.0,11.385,21.700000000000003,22.998664460042868,-315.64575
22.0,24.0,14.70273145,20.4,22.98330250117625,-273.44174
15.0,28.0,0.0,19.299999999999997,22.96857065860833,-250.2722
15.0,28.0,0.0,18.200000000000003,22.92260775731654,-1063.8975
